date,ticker,group,open,close,high,low,volume,ingest_date,ma30,ma30_slope_pct,ma30_slope_signal,ma30_slope_signal_confirmed,price_to_ma_pct,price_vs_ma_signal,price_vs_ma_breakout,price_vs_ma_signal_confirmed,bench_close,rs_ratio,rs_slope_pct,rs_slope_signal,rs_slope_signal_confirmed,recent_avg_vol,vol_factor,recent_max_vol,vol_rank_pct,up_week,vol_on_up,vol_on_down,accumulation_score,breakout_volume_ok,accumulation_confirmed,distribution_confirmed,stage_score_core,stage_label_core,stage_reason
2025-06-30,ADBE,Leader,387.3,379.31,392.58,372.73,18937761,2025-11-29,408.82150000000007,-0.9748333892418951,falling,falling,-7.218676121485798,below,false,below,623.6194661216,0.6082395124048903,-2.825525173938258,falling,falling,23027297,0.8224048614998104,41782469,0.4532465757349093,false,0,0,-0.125,false,false,false,0.1,Stage 4, |  |  | 
2025-07-07,ADBE,Leader,378.9,363.35,386.6011,362.7,19552515,2025-11-29,405.4101666666667,-1.019108777271564,falling,falling,-10.374719265797076,below,false,below,621.9041984565,0.584253974972023,-3.3034936866811715,falling,falling,21417912,0.9129048153713584,41782469,0.46795977997374927,false,0,0,-0.125,false,false,false,0.1,Stage 4, |  |  | 
2025-07-14,ADBE,Leader,363.185,365.79,368.32,358.71,14842269,2025-11-29,402.6975000000001,-0.9803500969211488,falling,falling,-9.1650680721882,below,false,below,625.8533030809,0.5844660373274674,-2.284616467972854,falling,falling,18478401.25,0.8032225731649809,41782469,0.3552271887044301,true,0,0,-0.125,false,false,false,0.1,Stage 4, |  |  | 
2025-07-21,ADBE,Leader,366.49,370.74,375.9974,363.13,11959323,2025-11-29,400.17283333333336,-0.8962321760256575,falling,falling,-7.3550303473041065,below,false,below,635.3471101578,0.5835235481088755,-1.6500971875366783,falling,falling,16322967,0.7326684542093358,41782469,0.2862282504176572,true,0,0,-0.125,false,false,false,0.1,Stage 4, |  |  | 
2025-07-28,ADBE,Leader,371.03,347.8,376.16,347.46,19334608,2025-11-29,397.4138333333333,-0.829502757411691,falling,falling,-12.484173718160276,below,false,below,620.0094260356,0.5609592135136827,-2.168811222280576,falling,falling,16422178.75,1.1773473114826496,41782469,0.4627445065536936,false,0,0,-0.125,false,false,false,0.1,Stage 4, |  |  | 
2025-08-04,ADBE,Leader,351.16,341.05,351.21,332.65,21875067,2025-11-29,395.25149999999996,-0.6638594105251365,falling,falling,-13.71316743895974,below,false,below,635.4268900492,0.5367257907099164,-2.35149871839858,falling,falling,17002816.75,1.2865554761683826,41782469,0.523546538142588,false,0,0,0,false,false,false,0.1,Stage 4, |  |  | 
2025-08-11,ADBE,Leader,334.53,354.85,357.29,330.04,19778059,2025-11-29,392.7468333333333,-0.6247171074890858,falling,falling,-9.649176038338512,below,false,below,641.6696665515,0.5530104016090653,-1.0695202669165849,falling,falling,18236764.25,1.0845158016450205,41782469,0.4733578334013722,true,0,0,0,false,false,false,0.1,Stage 4, |  |  | 
2025-08-18,ADBE,Leader,355.68,362.09,364.24,347,14880776,2025-11-29,390.30383333333333,-0.6155323371347858,falling,falling,-7.228684661479545,below,false,below,643.534521513,0.5626582380517802,-0.7462469290912326,falling,falling,18967127.5,0.7845561221645185,41782469,0.3561487953237038,true,0,0,0,false,false,false,0.1,Stage 4, |  |  | 
2025-08-25,ADBE,Leader,362.56,356.7,364.65,349.11,15123041,2025-11-29,387.6121666666667,-0.6277620877978957,falling,falling,-7.975024863770633,below,false,below,643.2752368659,0.5545060334327144,-0.9945619082624211,falling,falling,17914235.75,0.8441912460597154,41782469,0.36194704051596377,false,0,0,0,false,false,false,0.1,Stage 4, |  |  | 
2025-09-01,ADBE,Leader,350.24,348.97,354.67,331.5,16815000,2025-11-29,384.8088333333334,-0.6343513457634166,falling,falling,-9.313412330711401,below,false,below,645.4592113931,0.5406538381361313,-0.7239519340582544,falling,falling,16649219,1.0099572838822048,41782469,0.40244151201308853,false,0,0,0,false,false,false,0.1,Stage 4, |  |  | 
